training set 809
validation set 203
-------------------------------------
{'lr': 0.0009605105020413945, 'batch_size': 8, 'weight_decay': 1.1923305553979827e-06, 'gamma': 0.00433118420135304}
train_acc: 0.17799752781211373, val_acc: 0.19704433497536947, train_loss: 1.7849447890766177, val_loss: 1.769988350680309 (1 / 100)
train_acc: 0.17181705809641531, val_acc: 0.28078817733990147, train_loss: 1.7643280991517716, val_loss: 1.7478274565024916 (2 / 100)
train_acc: 0.20395550061804696, val_acc: 0.18226600985221675, train_loss: 1.763094927088734, val_loss: 1.7348777736936296 (3 / 100)
train_acc: 0.23485784919653893, val_acc: 0.26108374384236455, train_loss: 1.729027126569241, val_loss: 1.692833564551593 (4 / 100)
train_acc: 0.27935723114956734, val_acc: 0.2857142857142857, train_loss: 1.6654108475401022, val_loss: 1.7143301658442456 (5 / 100)
train_acc: 0.30284301606922126, val_acc: 0.270935960591133, train_loss: 1.643770363628496, val_loss: 1.5803389625596296 (6 / 100)
train_acc: 0.33250927070457353, val_acc: 0.31527093596059114, train_loss: 1.5700676868518881, val_loss: 1.518441369380857 (7 / 100)
train_acc: 0.34239802224969096, val_acc: 0.39901477832512317, train_loss: 1.5188140768939986, val_loss: 1.487303146294185 (8 / 100)
train_acc: 0.34363411619283063, val_acc: 0.3399014778325123, train_loss: 1.5358246021129291, val_loss: 1.5066844066375582 (9 / 100)
train_acc: 0.3683559950556242, val_acc: 0.43349753694581283, train_loss: 1.4367126021603276, val_loss: 1.436339361327035 (10 / 100)
train_acc: 0.35970333745364647, val_acc: 0.3694581280788177, train_loss: 1.4342868634590555, val_loss: 1.388116239914166 (11 / 100)
train_acc: 0.3695920889987639, val_acc: 0.39901477832512317, train_loss: 1.4370142302495441, val_loss: 1.370665864991437 (12 / 100)
train_acc: 0.37330037082818296, val_acc: 0.4088669950738916, train_loss: 1.4723256963439866, val_loss: 1.3920586919549651 (13 / 100)
train_acc: 0.3943139678615575, val_acc: 0.4482758620689655, train_loss: 1.369249689122213, val_loss: 1.2830601918873528 (14 / 100)
train_acc: 0.4264524103831891, val_acc: 0.43349753694581283, train_loss: 1.356589071830212, val_loss: 1.334406545009519 (15 / 100)
train_acc: 0.4215080346106304, val_acc: 0.3694581280788177, train_loss: 1.385472560842488, val_loss: 1.434971092369756 (16 / 100)
train_acc: 0.4326328800988875, val_acc: 0.42857142857142855, train_loss: 1.3245325265325634, val_loss: 1.2682313138041004 (17 / 100)
train_acc: 0.44128553770086526, val_acc: 0.4187192118226601, train_loss: 1.300168034762181, val_loss: 1.413006793689258 (18 / 100)
train_acc: 0.45488257107540175, val_acc: 0.4876847290640394, train_loss: 1.282852697726086, val_loss: 1.2275782482964652 (19 / 100)
train_acc: 0.45982694684796044, val_acc: 0.4827586206896552, train_loss: 1.2469256740565353, val_loss: 1.1865446617450621 (20 / 100)
train_acc: 0.48825710754017304, val_acc: 0.4876847290640394, train_loss: 1.2302058671401959, val_loss: 1.1883703857807104 (21 / 100)
train_acc: 0.4932014833127318, val_acc: 0.45320197044334976, train_loss: 1.2204586769948047, val_loss: 1.2340848287338106 (22 / 100)
train_acc: 0.4783683559950556, val_acc: 0.4482758620689655, train_loss: 1.203567565887319, val_loss: 1.1807303945419236 (23 / 100)
train_acc: 0.4956736711990111, val_acc: 0.47783251231527096, train_loss: 1.1895751826400662, val_loss: 1.1595719817823964 (24 / 100)
train_acc: 0.4932014833127318, val_acc: 0.47783251231527096, train_loss: 1.1427832439597074, val_loss: 1.2359732134001595 (25 / 100)
train_acc: 0.5327564894932015, val_acc: 0.5172413793103449, train_loss: 1.1318439040402104, val_loss: 1.1284613168885556 (26 / 100)
train_acc: 0.5426452410383189, val_acc: 0.5172413793103449, train_loss: 1.0866840003594775, val_loss: 1.0970356972346753 (27 / 100)
train_acc: 0.5451174289245982, val_acc: 0.5073891625615764, train_loss: 1.0928326787701055, val_loss: 1.124043857522786 (28 / 100)
train_acc: 0.5414091470951793, val_acc: 0.4975369458128079, train_loss: 1.050088636512662, val_loss: 1.1774577836097755 (29 / 100)
train_acc: 0.5797280593325093, val_acc: 0.5024630541871922, train_loss: 0.9811397793855892, val_loss: 1.0980136928887203 (30 / 100)
train_acc: 0.6291718170580964, val_acc: 0.5024630541871922, train_loss: 0.9474433887432179, val_loss: 1.1333736853646528 (31 / 100)
train_acc: 0.6056860321384425, val_acc: 0.4827586206896552, train_loss: 0.9685947523718269, val_loss: 1.3225777795162108 (32 / 100)
train_acc: 0.6526576019777504, val_acc: 0.5812807881773399, train_loss: 0.8886057813323767, val_loss: 1.0619566146963335 (33 / 100)
train_acc: 0.6674907292954264, val_acc: 0.5812807881773399, train_loss: 0.831836785904704, val_loss: 1.1526525723816725 (34 / 100)
train_acc: 0.6909765142150803, val_acc: 0.541871921182266, train_loss: 0.8064870698785016, val_loss: 1.0724302048753636 (35 / 100)
train_acc: 0.7280593325092707, val_acc: 0.5221674876847291, train_loss: 0.7386576226084725, val_loss: 1.3857591762918557 (36 / 100)
train_acc: 0.6971569839307787, val_acc: 0.6354679802955665, train_loss: 0.7499120842541104, val_loss: 0.899597328871929 (37 / 100)
train_acc: 0.7873918417799752, val_acc: 0.6009852216748769, train_loss: 0.5736295836522936, val_loss: 1.1240809951803368 (38 / 100)
train_acc: 0.7911001236093943, val_acc: 0.5566502463054187, train_loss: 0.5680641220290817, val_loss: 1.157919485580745 (39 / 100)
train_acc: 0.8046971569839307, val_acc: 0.5615763546798029, train_loss: 0.5236230208935637, val_loss: 1.4095153585076332 (40 / 100)
train_acc: 0.8405438813349815, val_acc: 0.6354679802955665, train_loss: 0.43812267535696514, val_loss: 1.0710394370732048 (41 / 100)
overfit -> train_accuracy 0.8281829419035847, val_accuracy 0.5517241379310345
lr 0.0009605105020413945, batch 8, decay 1.1923305553979827e-06, gamma 0.00433118420135304, val accuracy 0.6354679802955665, val loss 0.899597328871929 [1 / 50]
-------------------------------------
{'lr': 0.0013817157823343665, 'batch_size': 8, 'weight_decay': 1.698514373794663e-05, 'gamma': 0.0019419152163696607}
train_acc: 0.17428924598269468, val_acc: 0.22167487684729065, train_loss: 1.7791680631001003, val_loss: 1.7557941452035764 (1 / 100)
train_acc: 0.20024721878862795, val_acc: 0.21182266009852216, train_loss: 1.7589330964978458, val_loss: 1.739792711629069 (2 / 100)
train_acc: 0.23485784919653893, val_acc: 0.2660098522167488, train_loss: 1.7397506098517381, val_loss: 1.6936947577105368 (3 / 100)
train_acc: 0.26823238566131025, val_acc: 0.270935960591133, train_loss: 1.680294215458138, val_loss: 1.6531045378135343 (4 / 100)
train_acc: 0.311495673671199, val_acc: 0.2561576354679803, train_loss: 1.6017039184664619, val_loss: 1.5781576151918308 (5 / 100)
train_acc: 0.3362175525339926, val_acc: 0.3793103448275862, train_loss: 1.5857719899108, val_loss: 1.4404211637421782 (6 / 100)
train_acc: 0.34981458590852904, val_acc: 0.2561576354679803, train_loss: 1.5531566334595934, val_loss: 1.5937065197329217 (7 / 100)
train_acc: 0.3510506798516687, val_acc: 0.3645320197044335, train_loss: 1.5050489917231726, val_loss: 1.4029756520182042 (8 / 100)
train_acc: 0.380716934487021, val_acc: 0.4187192118226601, train_loss: 1.4738783600598537, val_loss: 1.3110084457350482 (9 / 100)
train_acc: 0.411619283065513, val_acc: 0.4088669950738916, train_loss: 1.4356740850158616, val_loss: 1.4784014806371604 (10 / 100)
train_acc: 0.37824474660074164, val_acc: 0.39408866995073893, train_loss: 1.384679002726476, val_loss: 1.3318745778699226 (11 / 100)
train_acc: 0.38813349814585907, val_acc: 0.41379310344827586, train_loss: 1.35723456965094, val_loss: 1.2594102914697431 (12 / 100)
train_acc: 0.40296662546353523, val_acc: 0.39901477832512317, train_loss: 1.3432273528779246, val_loss: 1.2815693243971011 (13 / 100)
train_acc: 0.4338689740420272, val_acc: 0.43842364532019706, train_loss: 1.3431276498530498, val_loss: 1.2495643117744935 (14 / 100)
train_acc: 0.40667490729295425, val_acc: 0.46798029556650245, train_loss: 1.3124889833818112, val_loss: 1.233721019599238 (15 / 100)
train_acc: 0.4363411619283066, val_acc: 0.4729064039408867, train_loss: 1.2926990425925615, val_loss: 1.3085452588320954 (16 / 100)
